GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US13087,13087,"Decatur County, Georgia",111100,10601
0500000US13089,13089,"DeKalb County, Georgia",168100,2751
0500000US13091,13091,"Dodge County, Georgia",68900,6275
0500000US13093,13093,"Dooly County, Georgia",83600,7084
0500000US13095,13095,"Dougherty County, Georgia",100500,3519
0500000US13097,13097,"Douglas County, Georgia",127400,4197
0500000US13099,13099,"Early County, Georgia",82100,8611
0500000US13101,13101,"Echols County, Georgia",55600,7123
0500000US13103,13103,"Effingham County, Georgia",152300,3869
0500000US13105,13105,"Elbert County, Georgia",83700,4271
0500000US13107,13107,"Emanuel County, Georgia",72300,6646
0500000US13109,13109,"Evans County, Georgia",86700,5551
0500000US13111,13111,"Fannin County, Georgia",169800,9031
0500000US13113,13113,"Fayette County, Georgia",240200,4440
0500000US13115,13115,"Floyd County, Georgia",119600,4575
0500000US13117,13117,"Forsyth County, Georgia",281400,3781
0500000US13119,13119,"Franklin County, Georgia",99100,11033
0500000US13121,13121,"Fulton County, Georgia",252700,4645
0500000US13123,13123,"Gilmer County, Georgia",152200,10306
0500000US13125,13125,"Glascock County, Georgia",68900,8994
0500000US13127,13127,"Glynn County, Georgia",161800,6056
0500000US13129,13129,"Gordon County, Georgia",112300,5194
0500000US13131,13131,"Grady County, Georgia",108200,11541
0500000US13133,13133,"Greene County, Georgia",182800,25859
0500000US13135,13135,"Gwinnett County, Georgia",173000,1391
0500000US13137,13137,"Habersham County, Georgia",130600,7316
0500000US13139,13139,"Hall County, Georgia",164500,2516
0500000US13141,13141,"Hancock County, Georgia",67700,6351
0500000US13143,13143,"Haralson County, Georgia",106600,12385
0500000US13145,13145,"Harris County, Georgia",200200,9693
0500000US13147,13147,"Hart County, Georgia",122200,7819
0500000US13149,13149,"Heard County, Georgia",94200,12680
0500000US13151,13151,"Henry County, Georgia",146100,3056
0500000US13153,13153,"Houston County, Georgia",136000,3463
0500000US13155,13155,"Irwin County, Georgia",81800,8087
0500000US13157,13157,"Jackson County, Georgia",155900,4921
0500000US13159,13159,"Jasper County, Georgia",115000,11517
0500000US13161,13161,"Jeff Davis County, Georgia",73900,8080
0500000US13163,13163,"Jefferson County, Georgia",67800,5608
0500000US13165,13165,"Jenkins County, Georgia",60600,8953
0500000US13167,13167,"Johnson County, Georgia",63800,6277
0500000US13169,13169,"Jones County, Georgia",129700,7008
0500000US13171,13171,"Lamar County, Georgia",121000,8034
0500000US13173,13173,"Lanier County, Georgia",112700,16098
0500000US13175,13175,"Laurens County, Georgia",85300,3647
0500000US13177,13177,"Lee County, Georgia",154800,7203
0500000US13179,13179,"Liberty County, Georgia",122500,4729
0500000US13181,13181,"Lincoln County, Georgia",118000,10470
0500000US13183,13183,"Long County, Georgia",99800,19079
0500000US13185,13185,"Lowndes County, Georgia",133700,4938
0500000US13187,13187,"Lumpkin County, Georgia",171900,10067
0500000US13189,13189,"McDuffie County, Georgia",101100,10454
0500000US13191,13191,"McIntosh County, Georgia",110200,9578
0500000US13193,13193,"Macon County, Georgia",69800,11069
0500000US13195,13195,"Madison County, Georgia",122800,7063
0500000US13197,13197,"Marion County, Georgia",103300,19827
0500000US13199,13199,"Meriwether County, Georgia",88400,8640
0500000US13201,13201,"Miller County, Georgia",89400,10142
